Instance,Status,Status First Reported,Current State,Host / Address,Name,Types,Collector,Last Status Report,Last Edit At
Twinsburg BMS 9245,Active,9/14/2025 21:11,Idle,N/A,Smart Active Querying,Network Discovery,Twinsburg 9245 - 10G (BMS),9/14/2025 21:11,8/17/2025 8:25
Boston 9236 TAP - 10G - Eno8,Active,9/15/2025 14:37,Running,N/A,SPAN/TAP,Switch,Boston 9236 - 10G (TPD),9/15/2025 14:38,7/25/2025 14:29
San Francisco 9239 - 10G - eno8,Active,9/15/2025 14:38,Running,N/A,SPAN/TAP,Switch,San Francisco 9239 - 10G (TPD),9/15/2025 14:39,4/9/2025 18:16
Los Angeles 9240 - 10G - Eno8,Active,9/15/2025 14:40,Running,N/A,SPAN/TAP,Switch,Los Angeles 9240 - 10G (TPD),9/15/2025 14:40,7/25/2025 14:29
Tampa 9246 TAP - 40G - Enp101s0f1np1,No Network Traffic Error,9/15/2025 14:39,Running,N/A,SPAN/TAP,Switch,Tampa 9246 - 40G,9/15/2025 14:39,4/30/2025 20:43
Alpharetta Colo 9248 - 10G - Eno7,Active,9/15/2025 14:35,Running,N/A,SPAN/TAP,Switch,Alpharetta 9248 - 40G (TPD Co-lo),9/15/2025 14:36,7/25/2025 14:21
Alpharetta Colo 9248 - 10G - Eno8,Active,9/15/2025 14:36,Running,N/A,SPAN/TAP,Switch,Alpharetta 9248 - 40G (TPD Co-lo),9/15/2025 14:37,7/25/2025 14:21
Alpharetta Colo 9248 - 1G - Eno3,Active,9/15/2025 14:40,Running,N/A,SPAN/TAP,Switch,Alpharetta 9248 - 40G (TPD Co-lo),9/15/2025 14:40,7/25/2025 14:21
Alpharetta Colo 9248 - 1G - Eno4,Active,9/15/2025 14:39,Running,N/A,SPAN/TAP,Switch,Alpharetta 9248 - 40G (TPD Co-lo),9/15/2025 14:40,7/25/2025 14:32
Atlanta Data Center Pilot - 10.254.250.0/23,Active,9/14/2025 15:00,Idle,N/A,Smart Active Querying,Network Discovery,Alpharetta 9248 - 40G (TPD Co-lo),9/14/2025 15:00,8/27/2025 21:09
Atlanta Data Center Pilot - 10.254.228.0/23,Active,9/14/2025 15:00,Idle,N/A,Smart Active Querying,Network Discovery,Alpharetta 9248 - 40G (TPD Co-lo),9/14/2025 15:00,8/27/2025 21:08
Atlanta Data Center Pilot - 10.254.226.0/23,Active,9/14/2025 15:00,Idle,N/A,Smart Active Querying,Network Discovery,Alpharetta 9248 - 40G (TPD Co-lo),9/14/2025 15:00,8/27/2025 21:10

